Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
callTestCase,Firefox 52.0,,2018-07-02 20:38:59,2018-07-02 20:38:59,0.000s,PASSED
,,,,,,
Test Cases/DDS-2052/DDS_3888,Firefox 52.0,,2018-07-02 20:38:59,2018-07-02 20:38:59,0.081s,ERROR
callTestCase,Firefox 52.0,,2018-07-02 20:38:59,2018-07-02 20:38:59,0.000s,PASSED
,,,,,,
Test Cases/DDS-2053/DDS- 3890 User should be able to mark individual items as favourites on the online store search results page,Firefox 52.0,,2018-07-02 20:38:59,2018-07-02 20:40:21,1m - 21.503s,PASSED
callTestCase,Firefox 52.0,,2018-07-02 20:38:59,2018-07-02 20:39:39,39.391s,PASSED
waitForElementPresent,Firefox 52.0,,2018-07-02 20:39:39,2018-07-02 20:40:15,36.396s,PASSED
waitForElementPresent,Firefox 52.0,,2018-07-02 20:40:15,2018-07-02 20:40:15,0.032s,PASSED
waitForElementPresent,Firefox 52.0,,2018-07-02 20:40:15,2018-07-02 20:40:15,0.014s,PASSED
"Statement - Attribute1 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SearchResultPage/SearchItemTab/CatalogItems/Favorite Button For ITEM1), ""ng-reflect-icon"")",Firefox 52.0,,2018-07-02 20:40:15,2018-07-02 20:40:15,0.017s,PASSED
"Statement - Attribute2 = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(SearchResultPage/SearchItemTab/CatalogItems/Favorite Button For Item3), ""ng-reflect-icon"")",Firefox 52.0,,2018-07-02 20:40:15,2018-07-02 20:40:15,0.022s,PASSED
"Statement - If (Attribute1 == ""heart-fill"")",Firefox 52.0,,2018-07-02 20:40:15,2018-07-02 20:40:15,0.000s,PASSED
Statement - Else,Firefox 52.0,,2018-07-02 20:40:15,2018-07-02 20:40:17,2.186s,PASSED
"Statement - If (Attribute2 == ""heart-fill"")",Firefox 52.0,,2018-07-02 20:40:17,2018-07-02 20:40:17,0.000s,PASSED
